title,preptime,category,ingredients,instructions,picture_link,recipeby,calories,carbohydrates,sodium,cholestrol,fat,protiens,Main_Category
Slow Cooker Taco Soup,10 mins ,Soups# Stews and Chili Recipes#Soup Recipes#Taco Soup Recipes,"1 pound ground beef# 1 onion, chopped# 1 (16 ounce) can chili beans, with liquid# 1 (15 ounce) can kidney beans with liquid# 1 (15 ounce) can whole kernel corn, with liquid# 1 (8 ounce) can tomato sauce# 2 cups water# 2 (14.5 ounce) cans peeled and diced tomatoes# 1 (4 ounce) can diced green chile peppers# 1 (1.25 ounce) package taco seasoning mix","In a medium skillet, cook the ground beef until browned over medium heat. Drain, and set aside.# Place the ground beef, onion, chili beans, kidney beans, corn, tomato sauce, water, diced tomatoes, green chile peppers and taco seasoning mix in a slow cooker. Mix to blend, and cook on Low setting for 8 hours.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F03%2Fslow-cooker-taco-soup-photo-by-ttv78-5941186.jpg,Janeen Barlow,362,37.8g,1356mg.,48.5mg,16.3g,18.2g,Soups
Super Easy Egg Casserole,15 mins ,Breakfast and Brunch#Eggs,"1 cup shredded Cheddar cheese# 6 eggs, whisked# 6 slices bacon, diced# 2 slices bread, cubed# â…“ red bell pepper, diced# 2 green onions, chopped# 3 tablespoons milk# Â½ teaspoon minced garlic, or to taste (Optional)# salt and ground black pepper to taste","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.# Stir Cheddar cheese, eggs, bacon, bread, red bell pepper, green onion, milk, garlic, salt, and black pepper together in a bowl until well-combined; pour into prepared baking dish.# Bake in the preheated oven until eggs are set, 20 to 25 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F07%2F28%2FSuper-Easy-Egg-Casserole-by-Chef-V.jpg,5MOM,340,9.3g,728.3mg.,324.7mg,23.2g,23.2g,Breakfast and Brunch
Old-Fashioned Chocolate Fudge,60 mins,Desserts#Candy Recipes#Fudge Recipes#Chocolate,2 cups white sugar# ½ cup cocoa# 1 cup milk# 4 tablespoons butter# 1 teaspoon vanilla extract,"Grease an 8x8 inch square baking pan. Set aside.# Combine sugar, cocoa and milk in a medium saucepan. Stir to blend, then bring to a boil, stirring constantly. Reduce heat and simmer. Do not stir again.# Place candy thermometer in pan and cook until temperature reaches 238 degrees F(114 degrees C). If you are not using a thermometer, then cook until a drop of this mixture in a cup of cold water forms a soft ball. Feel the ball with your fingers to make sure it is the right consistency. It should flatten when pressed between your fingers.# Remove from heat. Add butter or margarine and vanilla extract. Beat with a wooden spoon until the fudge loses its sheen. Do not under beat.# Pour into prepared pan and let cool. Cut into about 60 squares.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F01%2F17%2F9420-old-fashioned-chocolate-fudge-mfs438-1.jpg,BOOK_WORM,37,7.3g,7.3mg.,2.4mg,0.9g,0.3g,Desserts
Hot Toddy,5 mins ,Drink Recipes#Cocktail Recipes#Whiskey Drinks Recipes,1 teaspoon honey# 2 fluid ounces boiling water# ½ fluid ounces whiskey# 3 whole cloves# 1 cinnamon stick# 1 slice lemon# 1 pinch ground nutmeg,"Pour the honey, boiling water, and whiskey into a mug. Spice it with the cloves and cinnamon, and put in the slice of lemon. Let the mixture stand for 5 minutes so the flavors can mingle, then sprinkle with a pinch of nutmeg before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4696584.jpg,SWIZZLESTICKS,135,8.1g,2.6mg.,0mg,0.4g,0.2g,Drink Recipes
Gingerbread Men Cookies,20 mins ,Trusted Brands: Recipes and Tips#McCormick&reg;,"3 cups flour# 2 teaspoons McCormickÂ® Ginger, Ground# 1 teaspoon McCormickÂ® Cinnamon, Ground# 1 teaspoon baking soda# ¼ teaspoon McCormickÂ® Nutmeg, Ground# ¼ teaspoon salt# ¾ cup butter, softened# ¾ cup firmly packed brown sugar# ½ cup molasses# 1 egg# 1 teaspoon McCormick® Pure Vanilla Extract","Mix flour, ginger, cinnamon, baking soda, nutmeg and salt in large bowl. Set aside. Beat butter and brown sugar in large bowl with electric mixer on medium speed until light and fluffy. Add molasses, egg and vanilla;mix well. Gradually beat in flour mixture on low speed until well mixed. Press dough into a thick flat disk. Wrap in plastic wrap. Refrigerate 4 hours or overnight.# Preheat oven to 350 degrees F. Roll out dough to 1/4-inch thickness on lightly floured work surface. Cut into gingerbread men shapes with 5-inch cookie cutter. Place 1 inch apart on ungreased baking sheets.# Bake 8 to 10 minutes or until edges of cookies are set and just begin to brown. Cool on baking sheets 1 to 2 minutes. Remove to wire racks; cool completely. Decorate cooled cookies as desired. Store cookies in airtight container up to5 days.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4696584.jpg,McCormick Spice,158,24g,125.3mg.,23mg,6.1g,2g,Trusted Brands: Recipes and Tips
Healing Cabbage Soup,30 mins ,Soups# Stews and Chili Recipes#Soup Recipes#Vegetable Soup Recipes#Cabbage Soup Recipes,"3 tablespoons olive oil#½ onion, chopped# 2 cloves garlic, chopped# 2 quarts water# 4 teaspoons chicken bouillon granules# 1 teaspoon salt, or to taste# ½ teaspoon black pepper, or to taste# ½ head cabbage, cored and coarsely chopped# 1 (14.5 ounce) can Italian-style stewed tomatoes, drained and diced","In a large stockpot, heat olive oil over medium heat. Stir in onion and garlic; cook until onion is transparent, about 5 minutes.# Stir in water, bouillon, salt, and pepper. Bring to a boil, then stir in cabbage. Simmer until cabbage wilts, about 10 minutes.# Stir in tomatoes. Return to a boil, then simmer 15 to 30 minutes, stirring often.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2019%2F12%2F3016182_healing-cabbage-soup_photo-by-julieruble.jpg,JGCASE,82,8.6g,435.9mg.,0,5.2g,1.5g,Soups
Best Damn Chili,35 mins ,Soups# Stews and Chili Recipes#Chili Recipes#Beef Chili Recipes,"4 tablespoons olive oil# 1 yellow onion, chopped# 1 red bell pepper, chopped# 1 Anaheim chile pepper, chopped# 2 red jalapeno pepper, chopped# 4 garlic cloves, minced# ½ pounds lean ground beef# ¼ cup Worcestershire sauce# 1 pinch garlic powder, or to taste# 2 beef bouillon cubes# 1 (12 fluid ounce) can or bottle light beer (such as CoorsÂ®)# 1 (28 ounce) can crushed San Marzano tomatoes# 1 (14.5 ounce) can fire-roasted diced tomatoes# 1 (12 ounce) can tomato paste# ½ cup white wine# 2 tablespoons chili powder# 2 tablespoons ground cumin# 1 tablespoon brown sugar# 1 tablespoon chipotle pepper sauce# ½ teaspoons dried basil# ½ teaspoons smoked paprika# 1 teaspoon salt# ½ teaspoon dried oregano# ½ teaspoon ground black pepper# ""2 (16 ounce) cans dark red kidney beans (such as BushsÂ®)"", 1 cup sour cream# 3 tablespoons chopped fresh cilantro# ½ teaspoon ground cumin","Heat oil in a large pot over medium heat; cook and stir onion, bell pepper, Anaheim pepper, jalapeno peppers, and garlic in the hot oil until softened.# Meanwhile, heat a large skillet over medium-high heat. Cook and stir beef in the hot skillet until browned and crumbly, 5 to 7 minutes; add Worcestershire sauce and garlic powder. Crumble bouillon cubes over beef and add beer. Continue to cook , scraping any browned bits from the bottom of the skillet, until liquid is hot, about 3 minutes. Stir beef mixture into pepper mixture.# Stir crushed tomatoes, diced tomatoes, tomato paste, and wine to the beef mixture. Season with chili powder, 2 tablespoons cumin, brown sugar, pepper sauce, basil, paprika, salt, oregano, and black pepper. Bring to a boil and reduce heat to medium-low. Cover and simmer until meat and vegetables are very tender and flavors have developed in the chili, about 90 minutes, stirring occasionally.# Mix kidney beans into beef and vegetables. Continue to simmer until beans are hot, about 30 minutes more.# Blend sour cream, cilantro, and remaining 1/2 teaspoon cumin in a food processor until smooth. Serve sour cream mixture with chili.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F06%2F30%2F1060867.jpg,Danny Jaye,406,27.6g,1014.5mg.,74.4mg,21.1g,25.2g,Soups
Egg Drop Soup (Better than Restaurant Quality!),5 mins ,Soups# Stews and Chili Recipes#Soup Recipes,"1 cup chicken broth# ¼ teaspoon soy sauce# ¼ teaspoon sesame oil# 1 teaspoon cornstarch (Optional)# 2 teaspoons water (Optional)# 1 egg, beaten# 1 drop yellow food coloring (Optional)# 1 teaspoon chopped fresh chives teaspoon salt (Optional)# ½ teaspoon ground white pepper (Optional)","In a small saucepan, combine the chicken broth, soy sauce and sesame oil. Bring to a boil. Stir together the cornstarch and water to dissolve cornstarch; pour into the boiling broth. Stir gently while you pour in the egg and yellow food coloring if using. Season with chives, salt and pepper before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2019%2F12%2F972459_egg-drop-soup-better-than-restaurant-quality_photo-by-naples34102.jpg,Darren,112,4.8g,1395.7mg.,191mg,6.7g,7.5g,Soups
Overnight Blueberry French Toast,15 mins ,Breakfast and Brunch#Eggs,"12 slices day-old bread, cut into 1-inch cubes# 2 (8 ounce) packages cream cheese, cut into 1 inch cubes# 1 cup fresh blueberries# 12 eggs, beaten# 2 cups milk# 1 teaspoon vanilla extract# 1 cup white sugar# 2 tablespoons cornstarch# 1 cup water# 1 cup fresh blueberries# 1 tablespoon butter","Lightly grease a 9x13 inch baking dish. Arrange half the bread cubes in the dish, and top with cream cheese cubes. Sprinkle 1 cup blueberries over the cream cheese, and top with remaining bread cubes.# In a large bowl, mix the eggs, milk, vanilla extract, and syrup. Pour over the bread cubes. Cover, and refrigerate overnight.# Remove the bread cube mixture from the refrigerator about 30 minutes before baking. Preheat the oven to 350 degrees F (175 degrees C).# Cover, and bake 30 minutes. Uncover, and continue baking 25 to 30 minutes, until center is firm and surface is lightly browned.# In a medium saucepan, mix the sugar, cornstarch, and water. Bring to a boil. Stirring constantly, cook 3 to 4 minutes. Mix in the remaining 1 cup blueberries. Reduce heat, and simmer 10 minutes, until the blueberries burst. Stir in the butter, and pour over the baked French toast",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F381517.jpg,KARAN1946,485,51.9g,451.2mg.,279.4mg,24.8g,15.1g,Breakfast and Brunch
NutellaÂ® Pastry Christmas Tree,35 mins ,Bread#Quick Bread Recipes,"1 (17.5 ounce) package frozen puff pastry, thawed# 4 tablespoons chocolate-hazelnut spread (such as NutellaÂ®), or more to taste, at room temperature# 1 egg, lightly beaten","Preheat oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.# Roll out one puff pastry sheet into a large rectangle on a lightly floured surface and place on the prepared baking sheet.# Lightly score puff pastry into the shape of a Christmas tree (triangle) with a wide base. Spread chocolate-hazelnut spread over the triangle in a thin layer with the back of a spoon.# Roll out the second sheet of puff pastry to a large rectangle and place on top of the first one. Carefully trace the shape of the chocolate covered triangle underneath and cut out the Christmas tree shape and the trunk. Pull away excess pastry.# Lightly score 2 lines down the middle of the triangle to form a tree trunk that is narrower at the top and gets wider towards the base. Using the trunk as a guide, cut branches into the sides of the triangle.# Twist the branches away from you, trying to get in 2 turns on the lower branches. Continue moving up the tree, twisting away from you as you go.# Cut a small star out of the excess pastry; place on top of the tree. Brush the star and tree with beaten egg.# Bake in the preheated oven until puffy and golden brown, 12 to 15 minutes. Cool slightly, about 5 minutes. Slide onto a serving plate, using a piece of parchment paper if needed.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F381517.jpg,geneviever,386,32.4g,168.8mg.,23.3mg,26.2g,5.8g,Bread
Boilermaker Tailgate Chili,30 mins ,Soups# Stews and Chili Recipes#Chili Recipes#Pork Chili Recipes,"2 pounds ground beef chuck# 1 pound bulk Italian sausage# 3 (15 ounce) cans chili beans, drained# 1 (15 ounce) can chili beans in spicy sauce# 2 (28 ounce) cans diced tomatoes with juice# 1 (6 ounce) can tomato paste# 1 large yellow onion, chopped# 3 stalks celery, chopped# 1 green bell pepper, seeded and chopped# 1 red bell pepper, seeded and chopped# 2 green chile peppers, seeded and chopped# 1 tablespoon bacon bits# 4 cubes beef bouillon# ½ cup beer# ¼ cup chili powder# 1 tablespoon Worcestershire sauce# 1 tablespoon minced garlic# 1 tablespoon dried oregano# 2 teaspoons ground cumin# 2 teaspoons hot pepper sauce (e.g. Tabascoâ„¢)# 1 teaspoon dried basil# 1 teaspoon salt# 1 teaspoon ground black pepper# 1 teaspoon cayenne pepper# 1 teaspoon paprika# 1 teaspoon white sugar# 1 (10.5 ounce) bag corn chips such as FritosÂ®# 1 (8 ounce) package shredded Cheddar cheese","Heat a large stock pot over medium-high heat. Crumble the ground chuck and sausage into the hot pan, and cook until evenly browned. Drain off excess grease.# Pour in the chili beans, spicy chili beans, diced tomatoes and tomato paste. Add the onion, celery, green and red bell peppers, chile peppers, bacon bits, bouillon, and beer. Season with chili powder, Worcestershire sauce, garlic, oregano, cumin, hot pepper sauce, basil, salt, pepper, cayenne, paprika, and sugar. Stir to blend, then cover and simmer over low heat for at least 2 hours, stirring occasionally.# After 2 hours, taste, and adjust salt, pepper, and chili powder if necessary. The longer the chili simmers, the better it will taste. Remove from heat and serve, or refrigerate, and serve the next day.# To serve, ladle into bowls, and top with corn chips and shredded Cheddar cheese.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2017%2F10%2F890638.jpg,MIGHTYPURDUE22,600,55.3g,2092.5mg.,69.7mg,30.1g,30.8g,Soups
Pesto Pasta,5 mins ,Main Dishes#Pasta#Pesto Pasta Recipes,½ cup chopped onion# ½ tablespoons pesto# 2 tablespoons olive oil# 2 tablespoons grated Parmesan cheese# 1 (16 ounce) package pasta# salt to taste# ground black pepper to taste,"Cook pasta in a large pot of boiling water until done. Drain.# Meanwhile, heat the oil in a frying pan over medium low heat. Add pesto, onion, and salt and pepper. Cook about five minutes, or until onions are soft.# In a large bowl, mix pesto mixture into pasta. Stir in grated cheese. Serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F27%2FPesto-Pasta-Aja.jpg,Lauren,225,32g,71.3mg.,43.5mg,7.2g,7.8g,Main Dishes
