title,preptime,category,ingredients,instructions,picture_link,recipeby,calories,carbohydrates,sodium,cholestrol,fat,protiens,Main_Category
Easiest Peanut Butter Fudge,15 mins ,Desserts#Candy Recipes#Fudge Recipes#Peanut Butter,"½ cup butter# 1 (16 ounce) package brown sugar# ½ cup milk# ¾ cup peanut butter# 1 teaspoon vanilla extract# ½ cups confectioners sugar""","""Melt butter in a medium saucepan over medium heat. Stir in brown sugar and milk. Bring to a boil and boil for 2 minutes, stirring frequently. Remove from heat. Stir in peanut butter and vanilla. Pour over confectioners sugar in a large mixing bowl. Beat until smooth; pour into an 8x8 inch dish. Chill until firm and cut into squares.""",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F27%2FEasiest-Peanut-Butter-Fudge.jpg,ANGIEH,357,60.1g,114.8mg.,16.9mg,12.8g,3.6g,Desserts
Italian Baked Meatballs,20 mins ,World Cuisine#European#Italian,1 cup Italian-seasoned bread crumbs# ¼ cup grated Romano cheese# 2 tablespoons chopped fresh parsley# ½ teaspoon salt# ½ teaspoon ground black pepper# ½ teaspoon garlic powder# ½ teaspoon onion powder# ½ cup water# 2 eggs# ½ pounds ground beef,"Preheat the oven to 350 degrees F (175 degrees C).# Mix bread crumbs, Romano cheese, parsley, salt, pepper, garlic powder, and onion powder together. Combine with water and eggs. Add ground beef and mix well. Roll mixture into balls and place on a nonstick baking sheet.# Bake in the preheated oven until browned, about 30 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5834922.jpg,Dawn Fronius,343,14.1g,611.7mg.,135.2mg,20.4g,24.4g,World Cuisine
Roasted Cauliflower Steaks,10 mins ,Fruits and Vegetables#Vegetables#Cauliflower#Roasted,"""1 large head cauliflower, sliced lengthwise through the core into 4 steaks"", ¼ cup olive oil# 1 tablespoon fresh lemon juice# 2 cloves garlic, minced# 1 pinch red pepper flakes, or to taste# salt and ground black pepper to taste","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.# Place cauliflower steaks on the prepared baking sheet.# Whisk olive oil, lemon juice, garlic, red pepper flakes, salt, and black pepper together in a bowl. Brush 1/2 of the olive oil mixture over the tops of the cauliflower steaks.# Roast cauliflower steaks in the preheated oven for 15 minutes. Gently turn over each steak and brush with remaining olive oil mixture. Continue roasting until tender and golden, 15 to 20 minutes more.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2015%2F01%2F1450538-Roasted-Cauliflower-Steaks-239042-bd.weld_.jpg,Snacking in the Kitchen,176,12.1g,63.6mg.,0,13.8g,4.3g,Fruits and Vegetables
Our Favorite Balsamic Vinaigrette,10 mins ,Side Dish#Sauces and Condiments#Salad Dressing Recipes#Vinaigrette Dressing Recipes,"½ cup olive oil# ¼ cup balsamic vinegar# 1 teaspoon honey# 1 teaspoon Dijon mustard# 1 shallot, minced# 1 clove garlic, minced# salt and ground black pepper to taste","Combine the olive oil, balsamic vinegar, honey, Dijon mustard, shallot, garlic, salt, and black pepper together in a glass jar with a lid. Replace lid on the jar and shake vigorously until thoroughly combined.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F27%2FBalsamic-Vinaigrette.jpg,Singer6,133,3.2g,38mg.,0,13.5g,0.2g,Side Dish
Easy Mochi,30 mins ,World Cuisine#Asian#Japanese,"1 cup sweetened red bean paste# 1 cup sweet rice flour (mochiko)# 1 teaspoon green tea powder (matcha)# 1 cup water# ¼ cup white sugar# ½ cup cornstarch, for rolling out the dough","Wrap red bean paste in aluminum foil and place in the freezer for at least 3 hours. Mix sweet rice flour and green tea powder thoroughly in a microwave-safe glass or ceramic bowl. Stir in water, then sugar. Mix until smooth. Cover bowl with plastic wrap.# Cook the rice flour mixture in the microwave for 3 minutes and 30 seconds. Meanwhile, remove red bean paste from the freezer and divide paste into 8 equal balls. Set aside. Stir rice flour mixture and heat for another 15 to 30 seconds.# Dust work surface with cornstarch. While the mochi is still hot from the microwave, begin rolling balls the size of about 2 tablespoons. Flatten the mochi ball and place 1 frozen red bean paste ball in the center. Pinch the mochi over the red bean paste until the paste is completely covered. Sprinkle with additional cornstarch and place mochi seam side down in a paper muffin liner to prevent sticking. Repeat until all the mochi and red bean paste is used.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2017%2F02%2F1014786-Easy-Mochi-Photo-by-liz-650x465.jpg,Katrina,213,49.8g,82.3mg.,0,0.2g,2.8g,World Cuisine
Corned Beef and Cabbage I,10 mins ,Main Dishes#Beef#Corned Beef Recipes,"3 pounds corned beef brisket with spice packet# 10 small red potatoes# 5 carrots, peeled and cut into 3-inch pieces# 1 large head cabbage, cut into small wedges","Place corned beef in large pot or Dutch oven and cover with water. Add the spice packet that came with the corned beef. Cover pot and bring to a boil, then reduce to a simmer. Simmer approximately 50 minutes per pound or until tender.# Add whole potatoes and carrots, and cook until the vegetables are almost tender. Add cabbage and cook for 15 more minutes. Remove meat and let rest 15 minutes.# Place vegetables in a bowl and cover. Add as much broth (cooking liquid reserved in the Dutch oven or large pot) as you want. Slice meat across the grain.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2015%2F03%2F10%2F16310-Corned-Beef-and-Cabbage-I-372809-Photo-by-Jenbc27-2000.jpg,deleteduser,839,68.9g,3377.5mg.,147mg,41.3g,49.6g,Main Dishes
Quick and Easy Home Fries,5 mins ,Side Dish#Potato#Hash Brown Potato Recipes,"3 medium russet potatoes, cubed# 3 tablespoons butter or margarine# salt and pepper to taste","Rinse potato cubes with cold water, and drain well. Melt butter or margarine in a large skillet over medium heat. Place potatoes in the skillet, and stir to coat with butter. Season with salt and pepper. Cover with a lid, and cook for 10 minutes. Remove the lid, and cook for another 10 minutes, turning frequently until brown and crisp on all sides..",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2017%2F09%2Fhomefries.jpg,magicallydelicious,199,27.9g,70.9mg.,22.9mg,8.8g,3.3g,Side Dish
Caldo de Pollo,20 mins ,Soups# Stews and Chili Recipes#Soup Recipes#Chicken Soup Recipes,"5 pounds chicken leg quarters# 2 gallons water# 2 tablespoons minced garlic# 2 tablespoons salt# 1 tablespoon garlic powder# 1 cube chicken bouillon# 4 large carrots, peeled and cut into large chunks# 4 large potatoes, peeled and cut into large chunks# 4 zucchini, cut into large chunks# 1 chayote, cut into large chunks# 1 large white onion, cut into large chunks# ½ bunch fresh cilantro, chopped","Place chicken legs into a large stock pot and pour water over chicken; add garlic, salt, and garlic powder. Cover, bring to a boil, and reduce heat to low. Simmer until chicken meat falls off the bones, 1 to 2 hours. Stir in chicken bouillon cube and let dissolve.# Mix carrots, potatoes, zucchini, chayote, and white onion in the broth, turn heat to medium-low, and cook soup at a low boil until carrots and potatoes are tender, 45 minutes to 1 hour. Stir chopped cilantro into soup, simmer for 5 minutes, and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4873232.jpg,jackampamplanasmommy,606,42.3g,2079.6mg.,159.7mg,25.1g,51.6g,Soups
Kickin' Collard Greens,10 mins ,Side Dish#Vegetables#Greens,"1 tablespoon olive oil# 3 slices bacon# 1 large onion, chopped# 2 cloves garlic, minced# 1 teaspoon salt# 1 teaspoon pepper# 3 cups chicken broth# 1 pinch red pepper flakes# 1 pound fresh collard greens, cut into 2-inch pieces","Heat oil in a large pot over medium-high heat. Add bacon, and cook until crisp. Remove bacon from pan, crumble and return to the pan. Add onion, and cook until tender, about 5 minutes. Add garlic, and cook until just fragrant. Add collard greens, and fry until they start to wilt.# Pour in chicken broth, and season with salt, pepper, and red pepper flakes. Reduce heat to low, cover, and simmer for 45 minutes, or until greens are tender.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2019%2F11%2F822015_kickin-collard-greens_photo-by-wyattdogster.jpg,deleteduser,127,7.9g,1000.8mg.,12mg,9.2g,4.4g,Side Dish
Candied Pecans,10 mins ,Appetizers and Snacks#Nuts and Seeds,1 cup white sugar# 1 teaspoon ground cinnamon# 1 teaspoon salt# 1 egg white# 1 tablespoon water# 1 pound pecan halves,"Preheat oven to 250 degrees F (120 degrees C).# Mix sugar, cinnamon, and salt together in a bowl.# Whisk egg white and water together in a separate bowl until frothy. Toss pecans in the egg white mixture. Mix sugar mixture into pecan mixture until pecans are evenly coated. Spread coated pecans onto a baking sheet.# Bake in the preheated oven, stirring every 15 minutes, until pecans are evenly browned, 1 hour.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F01%2F28%2F230557-candied-pecans-daniellek-1x1-1.png,Alix,393,26.5g,238.2mg.,0,32.7g,4.5g,Appetizers and Snacks
Grandmother's Buttermilk Cornbread,15 mins ,Bread#Quick Bread Recipes#Cornbread Recipes,½ cup butter# …” cup white sugar# 2 large eggs# 1 cup buttermilk# ½ teaspoon baking soda# 1 cup cornmeal# 1 cup all-purpose flour# ¼ teaspoon salt,"Preheat oven to 375 degrees F (175 degrees C). Grease an 8 inch square pan.# Melt butter in large skillet. Remove from heat and stir in sugar. Quickly add eggs and beat until well blended. Combine buttermilk with baking soda and stir into mixture in pan. Stir in cornmeal, flour, and salt until well blended and few lumps remain. Pour batter into the prepared pan.# Bake in the preheated oven for 30 to 40 minutes, or until a toothpick inserted in the center comes out clean.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F11%2F16%2F76594-grandmothers-buttermilk-cornbread-PASSANO_ALR1121_Chili_Party_7696-2x1-1.jpg,Bethany Weathersby,284,39.1g,317.8mg.,59mg,12.2g,4.8g,Bread
